AùL, 0, 0, -1
9.4, JOYSTICK, 0, 000, stopAll, 499, 507, 0
9.5, JOYSTICK, 0, 000, stopAll, 499, 507, 0
9.6, JOYSTICK, 0, 000, stopAll, 499, 507, 0
9.7, JOYSTICK, 0, 000, stopAll, 499, 507, 0
9.8, JOYSTICK, 0, 000, stopAll, 499, 507, 0
9.9, JOYSTICK, 0, 000, stopAll, 499, 507, 0
10.1, JOYSTICK, 0, 000, stopAll, 499, 507, 0
10.2, JOYSTICK, 0, 000, stopAll, 499, 507, 0
10.3, JOYSTICK, 0, 000, moveForward, 608, 507, -1
10.4, JOYSTICK, 0, 000, moveForward, 608, 507, -1
10.5, JOYSTICK, 0, 000, moveForward, 608, 507, -1
10.6, JOYSTICK, 0, 000, moveForward, 609, 507, -1
10.7, JOYSTICK, 0, 000, moveForward, 608, 507, -1
10.9, JOYSTICK, 0, 000, moveForward, 608, 507, -1
11.0, JOYSTICK, 4, 000, moveForward, 641, 507, -1
11.1, JOYSTICK, 12, 000, moveForward, 726, 507, -1
11.2, JOYSTICK, 12, 000, moveForward, 729, 507, -1
11.3, JOYSTICK, 16, 000, moveForward, 765, 507, -1
11.4, JOYSTICK, 19, 000, moveForward, 794, 507, -1
11.5, JOYSTICK, 19, 000, moveForward, 794, 507, -1
11.7, JOYSTICK, 19, 000, moveForward, 794, 507, -1
11.8, JOYSTICK, 19, 000, moveForward, 794, 507, -1
11.9, JOYSTICK, 0, 000, stopAll, 499, 507, 0
12.0, JOYSTICK, 0, 000, stopAll, 499, 507, 0
12.1, JOYSTICK, 0, 000, stopAll, 499, 507, 0
12.2, JOYSTICK, 0, 000, stopAll, 499, 507, 0
12.3, JOYSTICK, 0, 000, stopAll, 499, 507, 0
12.5, JOYSTICK, 0, 000, stopAll, 499, 507, 0
12.6, JOYSTICK, 0, 000, stopAll, 499, 507, 0
12.7, JOYSTICK, 0, 000, stopAll, 499, 507, 0
12.8, JOYSTICK, 0, 000, stopAll, 499, 507, 0
12.9, JOYSTICK, 0, 000, stopAll, 499, 507, 0
13.0, JOYSTICK, 0, 000, stopAll, 499, 507, 0
13.1, JOYSTICK, 0, 000, stopAll, 499, 507, 0
13.2, JOYSTICK, 0, 000, stopAll, 499, 507, 0
13.4, JOYSTICK, 0, 000, stopAll, 498, 507, 0
13.5, JOYSTICK, 0, 000, stopAll, 425, 507, 0
13.6, JOYSTICK, 0, 000, stopAll, 423, 507, 0
13.7, JOYSTICK, 0, 000, stopAll, 423, 507, 0
13.8, JOYSTICK, 0, 000, stopAll, 423, 506, 0
13.9, JOYSTICK, 0, 000, stopAll, 421, 507, 0
14.0, JOYSTICK, 0, 000, stopAll, 421, 507, 0
14.1, JOYSTICK, 4, 000, moveBackward, 352, 506, -1
14.3, JOYSTICK, 4, 000, moveBackward, 351, 506, -1
14.4, JOYSTICK, 5, 000, moveBackward, 349, 506, -1
14.5, JOYSTICK, 5, 000, moveBackward, 349, 507, -1
14.6, JOYSTICK, 5, 000, moveBackward, 348, 506, -1
14.7, JOYSTICK, 5, 000, moveBackward, 348, 506, -1
14.8, JOYSTICK, 5, 000, moveBackward, 348, 507, -1
14.9, JOYSTICK, 5, 000, moveBackward, 348, 507, -1
15.1, JOYSTICK, 5, 000, moveBackward, 348, 506, -1
15.2, JOYSTICK, 5, 000, moveBackward, 348, 507, -1
15.3, JOYSTICK, 5, 000, moveBackward, 348, 507, -1
15.4, JOYSTICK, 5, 000, moveBackward, 348, 507, -1
15.5, JOYSTICK, 5, 000, moveBackward, 348, 507, -1
15.6, JOYSTICK, 5, 000, moveBackward, 348, 507, -1
15.7, JOYSTICK, 5, 000, moveBackward, 348, 507, -1
15.8, JOYSTICK, 5, 000, moveBackward, 348, 507, -1
16.0, JOYSTICK, 5, 000, moveBackward, 348, 507, -1
16.1, JOYSTICK, 5, 000, moveBackward, 348, 506, -1
16.2, JOYSTICK, 5, 000, moveBackward, 348, 507, -1
16.3, JOYSTICK, 5, 000, moveBackward, 348, 506, -1
16.4, JOYSTICK, 5, 000, moveBackward, 348, 506, -1
16.5, JOYSTICK, 5, 000, moveBackward, 348, 507, -1
16.6, JOYSTICK, 5, 000, moveBackward, 348, 506, -1
16.8, JOYSTICK, 5, 000, moveBackward, 348, 506, -1
16.9, JOYSTICK, 5, 000, moveBackward, 348, 507, -1
17.0, JOYSTICK, 5, 000, moveBackward, 348, 506, -1
17.1, JOYSTICK, 5, 000, moveBackward, 348, 506, -1
17.2, JOYSTICK, 5, 000, moveBackward, 348, 506, -1
17.3, JOYSTICK, 5, 000, moveBackward, 348, 506, -1
17.4, JOYSTICK, 5, 000, moveBackward, 348, 506, -1
17.5, JOYSTICK, 5, 000, moveBackward, 349, 506, -1
17.7, JOYSTICK, 5, 000, moveBackward, 349, 507, -1
17.8, JOYSTICK, 4, 000, moveBackward, 353, 506, -1
17.9, JOYSTICK, 4, 000, moveBackward, 355, 507, -1
18.0, JOYSTICK, 0, 000, stopAll, 499, 507, 0
18.1, JOYSTICK, 0, 000, stopAll, 499, 507, 0
18.2, JOYSTICK, 0, 000, stopAll, 499, 507, 0
18.3, JOYSTICK, 0, 000, stopAll, 499, 507, 0
18.5, JOYSTICK, 0, 000, stopAll, 499, 507, 0
18.6, JOYSTICK, 0, 000, stopAll, 499, 507, 0
18.7, JOYSTICK, 0, 000, stopAll, 499, 507, 0
18.8, JOYSTICK, 0, 000, stopAll, 499, 507, 0
18.9, JOYSTICK, 0, 000, stopAll, 499, 507, 0
19.0, JOYSTICK, 0, 000, stopAll, 525, 507, 0
19.1, JOYSTICK, 7, 000, moveForward, 674, 507, -1
19.2, JOYSTICK, 7, 000, moveForward, 676, 507, -1
19.4, JOYSTICK, 7, 000, moveForward, 676, 507, -1
19.5, JOYSTICK, 7, 000, moveForward, 677, 507, -1
19.6, JOYSTICK, 8, 000, moveForward, 684, 507, -1
19.7, JOYSTICK, 8, 000, moveForward, 684, 507, -1
19.8, JOYSTICK, 8, 000, moveForward, 684, 507, -1
19.9, JOYSTICK, 8, 000, moveForward, 684, 507, -1
20.0, JOYSTICK, 8, 000, moveForward, 684, 507, -1
20.2, JOYSTICK, 8, 000, moveForward, 684, 507, -1
20.3, JOYSTICK, 1, 000, moveForward, 614, 507, -1
20.4, JOYSTICK, 0, 000, stopAll, 591, 506, 0
20.5, JOYSTICK, 0, 000, stopAll, 499, 507, 0
20.6, JOYSTICK, 0, 000, stopAll, 499, 507, 0
20.7, JOYSTICK, 0, 000, stopAll, 499, 507, 0
